asset,entry_time,exit_time,entry_price,exit_price,direction,session,attempt,status,position_size,risk_amount,pnl,return_pct,holding_time,ref_close,date,day_of_week,duration_minutes
BTCUSD,2020-01-02 00:00:00+00:00,2020-01-02 02:07:00+00:00,7117.0,7081.415,long,asian,1,sl_hit,28.101728256287732,1000.0,-1000.0,-0.01,0 days 02:07:00,7101,2020-01-02,Thursday,127.0
BTCUSD,2020-01-02 02:07:00+00:00,2020-01-02 03:50:00+00:00,7081.415,7046.007925,long,asian,2,sl_hit,27.960513541431983,990.0,-990.0,-0.01,0 days 01:43:00,7101,2020-01-02,Thursday,103.0
BTCUSD,2020-01-02 03:50:00+00:00,2020-01-02 08:00:00+00:00,7046.007925,7024.0,long,asian,3,session_close,27.820008448258825,980.1,-612.2606594286434,-0.006246920308424073,0 days 04:10:00,7101,2020-01-02,Thursday,250.0
BTCUSD,2020-01-02 08:00:00+00:00,2020-01-02 08:37:00+00:00,7024.0,7059.119999999999,short,london,1,sl_hit,28.473804100228616,1000.0,-1000.0,-0.01,0 days 00:37:00,7101,2020-01-02,Thursday,37.0
BTCUSD,2020-01-02 08:37:00+00:00,2020-01-02 10:29:00+00:00,7059.119999999999,7094.415599999998,short,london,2,sl_hit,28.048821949478544,990.0,-990.0,-0.01,0 days 01:52:00,7101,2020-01-02,Thursday,112.0
BTCUSD,2020-01-02 10:29:00+00:00,2020-01-02 16:00:00+00:00,7094.415599999998,7055.0,short,london,3,session_close,27.6301828159047,980.1,1089.0602337985304,0.01111172567899735,0 days 05:31:00,7101,2020-01-02,Thursday,331.0
BTCUSD,2020-01-02 13:00:00+00:00,2020-01-02 13:33:00+00:00,7078.0,7042.61,short,us,1,tp_hit,28.256569652444657,1000.0,1000.0000000000257,0.010000000000000257,0 days 00:33:00,7101,2020-01-02,Thursday,33.0
BTCUSD,2020-01-03 00:00:00+00:00,2020-01-03 00:45:00+00:00,6887.0,6852.565,short,asian,1,tp_hit,28.284518466842687,973.9773934057135,973.9773934057392,0.010000000000000264,0 days 00:45:00,7022,2020-01-03,Friday,45.0
BTCUSD,2020-01-03 08:00:00+00:00,2020-01-03 08:38:00+00:00,7139.0,7174.694999999999,long,london,1,tp_hit,27.76272873898287,990.9906023379854,990.9906023379601,0.009999999999999745,0 days 00:38:00,7054,2020-01-03,Friday,38.0
BTCUSD,2020-01-03 13:00:00+00:00,2020-01-03 13:58:00+00:00,7264.0,7300.319999999999,long,us,1,tp_hit,27.808370044053095,1010.0000000000003,1009.999999999975,0.009999999999999749,0 days 00:58:00,6871,2020-01-03,Friday,58.0
BTCUSD,2020-01-06 00:00:00+00:00,2020-01-06 01:03:00+00:00,7291.0,7327.454999999999,long,asian,1,tp_hit,26.984423737204033,983.7171673397711,983.7171673397465,0.00999999999999975,0 days 01:03:00,7290,2020-01-06,Monday,63.0
BTCUSD,2020-01-06 08:00:00+00:00,2020-01-06 08:57:00+00:00,7451.0,7488.254999999999,long,london,1,tp_hit,26.866206102841552,1000.9005083613649,1000.9005083613405,0.009999999999999756,0 days 00:57:00,7290,2020-01-06,Monday,57.0
BTCUSD,2020-01-06 13:00:00+00:00,2020-01-06 13:53:00+00:00,7502.0,7539.509999999999,long,us,1,tp_hit,27.195414556118212,1020.1000000000001,1020.0999999999754,0.009999999999999757,0 days 00:53:00,7290,2020-01-06,Monday,53.0
BTCUSD,2020-01-07 00:00:00+00:00,2020-01-07 00:06:00+00:00,7716.0,7754.579999999999,long,asian,1,tp_hit,25.753093287018412,993.5543390131685,993.5543390131451,0.009999999999999764,0 days 00:06:00,7448,2020-01-07,Tuesday,6.0
BTCUSD,2020-01-07 08:00:00+00:00,2020-01-07 11:16:00+00:00,7822.0,7861.109999999999,long,london,1,tp_hit,25.847852555484195,1010.9095134449784,1010.9095134449549,0.009999999999999768,0 days 03:16:00,7459,2020-01-07,Tuesday,196.0
BTCUSD,2020-01-07 13:00:00+00:00,2020-01-07 13:05:00+00:00,7811.0,7771.945,long,us,1,sl_hit,26.380770707975728,1030.3009999999997,-1030.3009999999997,-0.01,0 days 00:05:00,7491,2020-01-07,Tuesday,5.0
BTCUSD,2020-01-07 13:05:00+00:00,2020-01-07 15:35:00+00:00,7771.945,7733.0852749999995,long,us,2,sl_hit,26.248204021001,1019.9979899999997,-1019.9979899999997,-0.01,0 days 02:30:00,7491,2020-01-07,Tuesday,150.0
