asset,entry_time,exit_time,entry_price,exit_price,direction,session,attempt,status,position_size,risk_amount,pnl,return_pct,holding_time,ref_close,date,day_of_week,duration_minutes
WTI,2020-01-02 00:00:00+00:00,2020-01-02 08:00:00+00:00,61.295,61.255,long,asian,1,session_close,3262.908883269446,1000.0,-150.51635533077507,-0.0015051635533077506,0 days 08:00:00,61.175,2020-01-02,Thursday,480.0
WTI,2020-01-02 08:00:00+00:00,2020-01-02 11:35:00+00:00,61.255,60.948725,long,london,1,sl_hit,3265.0395886050183,1000.0,-1020.0,-0.0102,0 days 03:35:00,61.175,2020-01-02,Thursday,215.0
WTI,2020-01-02 11:35:00+00:00,2020-01-02 16:00:00+00:00,60.948725,61.135,long,london,2,session_close,3247.976065126871,989.8000000000001,585.2207415314912,0.0059125150690189044,0 days 04:25:00,61.175,2020-01-02,Thursday,265.0
WTI,2020-01-02 13:00:00+00:00,2020-01-02 15:07:00+00:00,61.016,61.321079999999995,short,us,1,sl_hit,3277.828766225288,1000.0,-1020.0,-0.0102,0 days 02:07:00,61.175,2020-01-02,Thursday,127.0
WTI,2020-01-02 15:07:00+00:00,2020-01-02 16:30:00+00:00,61.321079999999995,60.7078692,short,us,2,tp_hit,3228.2536445868723,989.8000000000002,1959.804000000023,0.01980000000000023,0 days 01:23:00,61.175,2020-01-02,Thursday,83.0
WTI,2020-01-03 00:00:00+00:00,2020-01-03 01:17:00+00:00,61.115,61.42057499999999,short,asian,1,sl_hit,3267.593345158222,998.4948364466923,-1018.4647331756261,-0.0102,0 days 01:17:00,61.295,2020-01-03,Friday,77.0
WTI,2020-01-03 01:17:00+00:00,2020-01-03 01:46:00+00:00,61.42057499999999,61.72767787499998,short,asian,2,sl_hit,3218.173027898109,988.3101891149358,-1008.0763928972345,-0.0102,0 days 00:29:00,61.295,2020-01-03,Friday,29.0
WTI,2020-01-03 01:46:00+00:00,2020-01-03 01:54:00+00:00,61.72767787499998,62.036316264374975,short,asian,3,sl_hit,3169.5001622025356,978.2294251859637,-997.794013689683,-0.0102,0 days 00:08:00,61.295,2020-01-03,Friday,8.0
WTI,2020-01-03 08:00:00+00:00,2020-01-03 09:12:00+00:00,62.985,63.299924999999995,long,london,1,tp_hit,3161.5534092730254,995.6522074153149,975.7391632669861,0.009799999999999774,0 days 01:12:00,61.166,2020-01-03,Friday,72.0
WTI,2020-01-03 13:00:00+00:00,2020-01-03 16:18:00+00:00,63.395,63.078025000000004,long,us,1,sl_hit,3184.4720877040845,1009.39804,-1029.5860008,-0.0102,0 days 03:18:00,61.126,2020-01-03,Friday,198.0
