asset,entry_time,exit_time,entry_price,exit_price,direction,session,attempt,status,position_size,risk_amount,pnl,return_pct,holding_time,ref_close,date,day_of_week,duration_minutes
XAUUSD,2020-01-02 00:00:00+00:00,2020-01-02 08:00:00+00:00,1518.715,1518.975,long,asian,1,session_close,131.69027763602608,1000.0,24.239472185365585,0.00024239472185365587,0 days 08:00:00,1516.915,2020-01-02,Thursday,480.0
XAUUSD,2020-01-02 08:00:00+00:00,2020-01-02 13:51:00+00:00,1518.975,1526.5698749999997,long,london,1,tp_hit,131.66773646702543,1000.0,989.9999999999701,0.0098999999999997,0 days 05:51:00,1516.915,2020-01-02,Thursday,351.0
XAUUSD,2020-01-02 13:00:00+00:00,2020-01-02 15:31:00+00:00,1523.275,1530.891375,long,us,1,tp_hit,131.29605619471099,1000.0,989.9999999999701,0.0098999999999997,0 days 02:31:00,1516.915,2020-01-02,Thursday,151.0
XAUUSD,2020-01-03 00:00:00+00:00,2020-01-03 02:15:00+00:00,1529.165,1536.8108249999998,long,asian,1,tp_hit,130.8220361729239,1000.2423947218537,990.2399707746054,0.009899999999999702,0 days 02:15:00,1519.128,2020-01-03,Friday,135.0
XAUUSD,2020-01-03 08:00:00+00:00,2020-01-03 16:00:00+00:00,1545.038,1549.008,long,london,1,session_close,130.72817626491843,1009.8999999999997,508.8918597717298,0.005039032179143775,0 days 08:00:00,1529.108,2020-01-03,Friday,480.0
XAUUSD,2020-01-03 13:00:00+00:00,2020-01-03 21:00:00+00:00,1546.215,1548.798,long,us,1,session_close,130.62866418965154,1009.8999999999997,327.31483960188086,0.003241061883373413,0 days 08:00:00,1528.298,2020-01-03,Friday,480.0
XAUUSD,2020-01-06 00:00:00+00:00,2020-01-06 01:12:00+00:00,1568.425,1576.2671249999999,long,asian,1,tp_hit,128.81008584147958,1010.1447944295996,1000.0433464853037,0.0099,0 days 01:12:00,1551.515,2020-01-06,Monday,72.0
XAUUSD,2020-01-06 08:00:00+00:00,2020-01-06 15:36:00+00:00,1572.255,1564.3937250000001,long,london,1,sl_hit,129.11250638067233,1014.988918597717,-1025.1388077836941,-0.0101,0 days 07:36:00,1551.515,2020-01-06,Monday,456.0
XAUUSD,2020-01-06 13:00:00+00:00,2020-01-06 15:27:00+00:00,1576.305,1568.423475,long,us,1,sl_hit,128.55039454877289,1013.1731483960185,-1023.3048798799787,-0.0101,0 days 02:27:00,1551.515,2020-01-06,Monday,147.0
XAUUSD,2020-01-06 15:27:00+00:00,2020-01-06 21:00:00+00:00,1568.423475,1565.708,long,us,2,session_close,127.89149302897462,1002.9400995972188,-357.31555302882316,-0.003562680893627857,0 days 05:33:00,1551.515,2020-01-06,Monday,333.0
